state,aqi,density
Kedah,97.28,0.0001600901018802
Kedah,97.87,0.0001538050238921
Kedah,98.47,0.0001483418155564
Kedah,99.07,0.0001393112209183
Kedah,99.67,0.0001249004908098
Kedah,100.27,0.0001074549114059
Kedah,100.86,9.10954148671027e-05
Kedah,101.46,7.84666298573304e-05
Kedah,102.06,6.97854195827517e-05
Kedah,102.66,6.396004272573107e-05
Kedah,103.26,5.977890841457151e-05
Kedah,103.85,5.632444174733483e-05
Kedah,104.45,5.304014485206412e-05
Kedah,105.05,4.974031615874392e-05
Kedah,105.65,4.649249588393289e-05
Kedah,106.25,4.348139572792927e-05
Kedah,106.84,4.094301213018902e-05
Kedah,107.44,3.8994160942650754e-05
Kedah,108.04,3.743934959687829e-05
Kedah,108.64,3.597221659170254e-05
Kedah,109.24,3.469795452360313e-05
Kedah,109.83,3.426033435642388e-05
Kedah,110.43,3.5225892379429373e-05
Kedah,111.03,3.731800382739331e-05
Kedah,111.63,3.930527076415845e-05
Kedah,112.23,3.967160102316212e-05
Kedah,112.82,3.755173181945757e-05
Kedah,113.42,3.329880157877237e-05
Kedah,114.02,2.8292573332832527e-05
Kedah,114.62,2.4109315030500946e-05
Kedah,115.22,2.169533885660287e-05
Kedah,115.81,2.110590794733719e-05
Kedah,116.41,2.1755702862473224e-05
Kedah,117.01,2.278220758348918e-05
Kedah,117.61,2.329342798170026e-05
Kedah,118.21,2.252704370484325e-05
Kedah,118.8,2.0049797096616865e-05
Kedah,119.4,1.601694848347086e-05
Kedah,120.0,1.1240552872960205e-05
Pulau Pinang,1.0,5.349513704770628e-06
Pulau Pinang,1.6,7.114171087865447e-06
Pulau Pinang,2.2,8.617710978171865e-06
Pulau Pinang,2.79,9.610860408042929e-06
Pulau Pinang,3.39,1.0490919123340017e-05
Pulau Pinang,3.99,1.3184381574103716e-05
Pulau Pinang,4.59,2.1786130359578486e-05
Pulau Pinang,5.19,4.259170067055462e-05
Pulau Pinang,5.78,8.328656579879161e-05
Pulau Pinang,6.38,0.0001508665120597
Pulau Pinang,6.98,0.0002487214270855
Pulau Pinang,7.58,0.0003754508377267
Pulau Pinang,8.18,0.0005277799172473
Pulau Pinang,8.77,0.000705269584986
Pulau Pinang,9.37,0.0009114228433109
Pulau Pinang,9.97,0.0011504405711189
Pulau Pinang,10.57,0.0014251891559375
Pulau Pinang,11.17,0.0017401090615427
Pulau Pinang,11.76,0.0021048714104297
Pulau Pinang,12.36,0.0025307841663647
Pulau Pinang,12.96,0.003018966676156
Pulau Pinang,13.56,0.0035526332892022
Pulau Pinang,14.16,0.0041063868667688
