shapeISO,state,aqi,date,shapeISO.1
MY-01,Johor,49.46,2021-03-01,null
MY-01,Johor,53.11,2021-04-01,null
MY-01,Johor,46.44,2021-05-01,null
MY-01,Johor,52.58,2021-06-01,null
MY-01,Johor,50.17,2021-07-01,null
MY-01,Johor,43.52,2021-08-01,null
MY-01,Johor,45.68,2021-09-01,null
MY-01,Johor,51.46,2021-10-01,null
MY-01,Johor,43.35,2021-11-01,null
MY-01,Johor,39.55,2021-12-01,null
MY-01,Johor,37.34,2022-01-01,null
MY-01,Johor,34.48,2022-02-01,null
MY-01,Johor,41.93,2022-03-01,null
MY-01,Johor,50.21,2022-04-01,null
MY-01,Johor,45.59,2022-05-01,null
MY-01,Johor,null,2015-07-01,null
MY-01,Johor,null,2015-08-01,null
MY-01,Johor,null,2015-09-01,null
MY-01,Johor,null,2015-10-01,null
MY-01,Johor,null,2015-11-01,null
MY-01,Johor,null,2015-12-01,null
MY-01,Johor,null,2016-01-01,null
MY-01,Johor,null,2016-02-01,null
MY-01,Johor,null,2016-03-01,null
MY-01,Johor,null,2016-04-01,null
MY-01,Johor,null,2016-05-01,null
MY-01,Johor,null,2016-06-01,null
MY-01,Johor,null,2016-07-01,null
MY-01,Johor,null,2016-08-01,null
MY-01,Johor,null,2016-09-01,null
MY-01,Johor,null,2016-10-01,null
MY-01,Johor,null,2016-11-01,null
MY-01,Johor,null,2016-12-01,null
MY-14,Wilayah Persekutuan,36.63,2005-10-01,null
MY-14,Wilayah Persekutuan,32.6,2005-11-01,null
MY-14,Wilayah Persekutuan,34.74,2005-12-01,null
MY-14,Wilayah Persekutuan,38.26,2006-01-01,null
MY-14,Wilayah Persekutuan,35.03,2006-02-01,null
MY-14,Wilayah Persekutuan,45.42,2006-03-01,null
MY-14,Wilayah Persekutuan,40.57,2006-04-01,null
MY-14,Wilayah Persekutuan,39.89,2006-05-01,null
MY-14,Wilayah Persekutuan,40.49,2006-06-01,null
MY-14,Wilayah Persekutuan,49.82,2006-07-01,null
MY-14,Wilayah Persekutuan,54.18,2006-08-01,null
MY-14,Wilayah Persekutuan,48.71,2006-09-01,null
MY-14,Wilayah Persekutuan,61.96,2006-10-01,null
MY-14,Wilayah Persekutuan,38.08,2006-11-01,null
MY-14,Wilayah Persekutuan,35.1,2006-12-01,null
MY-14,Wilayah Persekutuan,36.24,2007-01-01,null
MY-14,Wilayah Persekutuan,39.07,2007-02-01,null
MY-14,Wilayah Persekutuan,45.4,2007-03-01,null
MY-14,Wilayah Persekutuan,38.63,2007-04-01,null
MY-14,Wilayah Persekutuan,38.35,2007-05-01,null
MY-14,Wilayah Persekutuan,39.12,2007-06-01,null
MY-14,Wilayah Persekutuan,41.72,2007-07-01,null
MY-14,Wilayah Persekutuan,42.42,2007-08-01,null
