date,station,aqi,lat,lon,state,country
2011-12-01,Alor Setar,28.63,6.137244,100.346815,Kedah,Malaysia
2012-01-01,Alor Setar,24.92,6.137244,100.346815,Kedah,Malaysia
2012-02-01,Alor Setar,34.65,6.137244,100.346815,Kedah,Malaysia
2012-03-01,Alor Setar,34.37,6.137244,100.346815,Kedah,Malaysia
2012-04-01,Alor Setar,30.25,6.137244,100.346815,Kedah,Malaysia
2012-05-01,Alor Setar,35.79,6.137244,100.346815,Kedah,Malaysia
2012-06-01,Alor Setar,56.06,6.137244,100.346815,Kedah,Malaysia
2012-07-01,Alor Setar,47.11,6.137244,100.346815,Kedah,Malaysia
2012-08-01,Alor Setar,49.17,6.137244,100.346815,Kedah,Malaysia
2012-09-01,Alor Setar,40.33,6.137244,100.346815,Kedah,Malaysia
2012-10-01,Alor Setar,33.34,6.137244,100.346815,Kedah,Malaysia
2012-11-01,Alor Setar,34.22,6.137244,100.346815,Kedah,Malaysia
2012-12-01,Alor Setar,32.58,6.137244,100.346815,Kedah,Malaysia
2013-01-01,Alor Setar,40.75,6.137244,100.346815,Kedah,Malaysia
2013-02-01,Alor Setar,34.53,6.137244,100.346815,Kedah,Malaysia
2013-03-01,Alor Setar,40.3,6.137244,100.346815,Kedah,Malaysia
2013-04-01,Alor Setar,27.82,6.137244,100.346815,Kedah,Malaysia
2013-05-01,Alor Setar,24.86,6.137244,100.346815,Kedah,Malaysia
2013-06-01,Alor Setar,42.54,6.137244,100.346815,Kedah,Malaysia
2013-07-01,Alor Setar,39.5,6.137244,100.346815,Kedah,Malaysia
2013-08-01,Alor Setar,36.32,6.137244,100.346815,Kedah,Malaysia
2013-09-01,Alor Setar,27.55,6.137244,100.346815,Kedah,Malaysia
2013-10-01,Alor Setar,20.61,6.137244,100.346815,Kedah,Malaysia
2013-11-01,Alor Setar,24.73,6.137244,100.346815,Kedah,Malaysia
2013-12-01,Alor Setar,33.84,6.137244,100.346815,Kedah,Malaysia
2014-01-01,Alor Setar,35.32,6.137244,100.346815,Kedah,Malaysia
2014-02-01,Alor Setar,39.41,6.137244,100.346815,Kedah,Malaysia
2014-03-01,Alor Setar,49.5,6.137244,100.346815,Kedah,Malaysia
2014-04-01,Alor Setar,40.92,6.137244,100.346815,Kedah,Malaysia
2014-05-01,Alor Setar,33.28,6.137244,100.346815,Kedah,Malaysia
2014-06-01,Alor Setar,52.42,6.137244,100.346815,Kedah,Malaysia
2014-07-01,Alor Setar,48.57,6.137244,100.346815,Kedah,Malaysia
2014-08-01,Alor Setar,39.99,6.137244,100.346815,Kedah,Malaysia
2014-09-01,Alor Setar,39.07,6.137244,100.346815,Kedah,Malaysia
2014-10-01,Alor Setar,33.1,6.137244,100.346815,Kedah,Malaysia
2014-11-01,Alor Setar,36.42,6.137244,100.346815,Kedah,Malaysia
2014-12-01,Alor Setar,36.22,6.137244,100.346815,Kedah,Malaysia
2015-01-01,Alor Setar,55.15,6.137244,100.346815,Kedah,Malaysia
2015-02-01,Alor Setar,53.92,6.137244,100.346815,Kedah,Malaysia
2015-03-01,Alor Setar,51.88,6.137244,100.346815,Kedah,Malaysia
2015-04-01,Alor Setar,45.04,6.137244,100.346815,Kedah,Malaysia
2015-05-01,Alor Setar,39.86,6.137244,100.346815,Kedah,Malaysia
2015-06-01,Alor Setar,32.57,6.137244,100.346815,Kedah,Malaysia
2017-01-01,Alor Setar,37.1,6.137244,100.346815,Kedah,Malaysia
2017-02-01,Alor Setar,46.32,6.137244,100.346815,Kedah,Malaysia
2017-03-01,Alor Setar,47.47,6.137244,100.346815,Kedah,Malaysia
2017-04-01,Alor Setar,26.41,6.137244,100.346815,Kedah,Malaysia
